starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:35 2013	1371506315	207	602	809	590
Mon Jun 17 15:58:39 2013	1371506319	212	598	810	588
Mon Jun 17 15:58:35 2013	1371506315	215	595	810	521
Mon Jun 17 15:58:28 2013	1371506308	202	608	810	608
Mon Jun 17 15:58:29 2013	1371506309	205	605	810	604
Mon Jun 17 15:58:30 2013	1371506310	204	607	810	607
Mon Jun 17 15:58:24 2013	1371506304	200	611	811	611
Mon Jun 17 15:58:44 2013	1371506324	211	600	811	539
Mon Jun 17 15:58:47 2013	1371506327	219	593	812	554
Mon Jun 17 15:58:23 2013	1371506303	213	599	812	598
Mon Jun 17 15:58:25 2013	1371506305	202	611	814	555
Mon Jun 17 15:58:24 2013	1371506304	216	598	814	595
Mon Jun 17 15:58:26 2013	1371506306	223	591	814	528
Mon Jun 17 15:58:29 2013	1371506309	207	607	814	604
Mon Jun 17 15:58:33 2013	1371506313	211	603	814	600
Mon Jun 17 15:58:25 2013	1371506305	221	594	815	532
Mon Jun 17 15:58:30 2013	1371506310	201	614	815	561
Mon Jun 17 15:58:44 2013	1371506324	206	610	816	561
Mon Jun 17 15:58:24 2013	1371506304	213	604	817	603
Mon Jun 17 15:58:37 2013	1371506317	238	580	818	579
Mon Jun 17 15:58:37 2013	1371506317	234	584	818	520
Mon Jun 17 15:58:24 2013	1371506304	214	605	819	605
Mon Jun 17 15:58:27 2013	1371506307	205	614	819	546
Mon Jun 17 15:58:30 2013	1371506310	210	610	820	539
Mon Jun 17 15:58:35 2013	1371506315	215	605	820	541
Mon Jun 17 15:58:26 2013	1371506306	232	590	821	528
Mon Jun 17 15:58:47 2013	1371506327	203	619	822	618
Mon Jun 17 15:58:44 2013	1371506324	206	618	824	557
Mon Jun 17 15:58:41 2013	1371506321	221	603	824	592
Mon Jun 17 15:58:37 2013	1371506317	206	619	824	556
Mon Jun 17 15:58:27 2013	1371506307	209	615	825	553
Mon Jun 17 15:58:33 2013	1371506313	202	623	825	621
Mon Jun 17 15:58:26 2013	1371506306	208	618	826	551
Mon Jun 17 15:58:28 2013	1371506308	208	618	827	618
Mon Jun 17 15:58:36 2013	1371506316	211	616	827	616
Mon Jun 17 15:58:37 2013	1371506317	210	618	827	558
Mon Jun 17 15:58:37 2013	1371506317	254	574	828	564
Mon Jun 17 15:58:42 2013	1371506322	219	609	828	606
Mon Jun 17 15:58:30 2013	1371506310	226	602	828	599
Mon Jun 17 15:58:34 2013	1371506314	207	621	828	621
Mon Jun 17 15:58:30 2013	1371506310	218	610	828	609
Mon Jun 17 15:58:34 2013	1371506314	230	600	830	594
Mon Jun 17 15:58:33 2013	1371506313	224	608	832	608
Mon Jun 17 15:58:31 2013	1371506311	273	559	832	553
Mon Jun 17 15:58:28 2013	1371506308	202	631	833	629
Mon Jun 17 15:58:30 2013	1371506310	202	631	833	569
Mon Jun 17 15:58:28 2013	1371506308	221	612	833	610
Mon Jun 17 15:58:31 2013	1371506311	202	631	833	562
Mon Jun 17 15:58:46 2013	1371506326	201	634	835	573
Mon Jun 17 15:58:49 2013	1371506329	213	622	835	622
Mon Jun 17 15:58:22 2013	1371506302	210	626	835	622
Mon Jun 17 15:58:30 2013	1371506310	219	618	837	563
Mon Jun 17 15:58:49 2013	1371506329	226	611	837	604
Mon Jun 17 15:58:34 2013	1371506314	213	624	837	623
Mon Jun 17 15:58:41 2013	1371506321	204	634	838	633
Mon Jun 17 15:58:27 2013	1371506307	224	614	838	551
Mon Jun 17 15:58:28 2013	1371506308	204	634	838	630
Mon Jun 17 15:58:25 2013	1371506305	203	636	839	633
Mon Jun 17 15:58:33 2013	1371506313	204	636	840	634
Mon Jun 17 15:58:47 2013	1371506327	199	641	840	578
Mon Jun 17 15:58:34 2013	1371506314	211	631	842	631
Mon Jun 17 15:58:11 2013	1371506291	338	506	844	443
Mon Jun 17 15:58:34 2013	1371506314	208	636	844	630
Mon Jun 17 15:58:24 2013	1371506304	208	637	845	637
Mon Jun 17 15:58:42 2013	1371506322	207	638	845	638
Mon Jun 17 15:58:29 2013	1371506309	200	646	845	591
